run, time(ms), voltage(mV), energy(uJ), energy(uWh), charge(uC), charge(uAh)
0, 40.840000, 561.670601, -0.000226, -0.000000, -0.000382, -0.000000
1, 11.820000, 561.538517, -0.000129, -0.000000, -0.000227, -0.000000
2, 11.810000, 561.757624, -0.000114, -0.000000, -0.000200, -0.000000
3, 11.320000, 561.890364, -0.000076, -0.000000, -0.000130, -0.000000
4, 11.340000, 562.576592, -0.000048, -0.000000, -0.000080, -0.000000
5, 11.320000, 562.245131, -0.000024, -0.000000, -0.000035, -0.000000
6, 11.340000, 561.502576, -0.000006, -0.000000, -0.000004, -0.000000
7, 11.320000, 561.947882, 0.000003, 0.000000, 0.000013, 0.000000
8, 11.340000, 561.988354, 0.000003, 0.000000, 0.000014, 0.000000
9, 11.320000, 561.754048, -0.000002, -0.000000, 0.000006, 0.000000
10, 11.340000, 562.437952, -0.000009, -0.000000, -0.000007, -0.000000
11, 11.090000, 562.142313, -0.000014, -0.000000, -0.000015, -0.000000
12, 11.110000, 561.777830, -0.000022, -0.000000, -0.000031, -0.000000
13, 11.200000, 562.634289, -0.000040, -0.000000, -0.000062, -0.000000
14, 10.950000, 562.810361, -0.000064, -0.000000, -0.000106, -0.000000
15, 12.560000, 562.123537, -0.000111, -0.000000, -0.000191, -0.000000
16, 11.830000, 562.544286, -0.000131, -0.000000, -0.000230, -0.000000
17, 11.810000, 562.503159, -0.000131, -0.000000, -0.000230, -0.000000
18, 11.810000, 562.255561, -0.000116, -0.000000, -0.000204, -0.000000
19, 11.790000, 562.589943, -0.000078, -0.000000, -0.000134, -0.000000
20, 11.830000, 562.180817, -0.000028, -0.000000, -0.000043, -0.000000
21, 11.810000, 562.297761, -0.000001, -0.000000, 0.000007, 0.000000
22, 11.810000, 561.761141, -0.000005, -0.000000, 0.000001, 0.000000
23, 11.790000, 562.769532, -0.000020, -0.000000, -0.000026, -0.000000
24, 11.830000, 562.227070, -0.000049, -0.000000, -0.000078, -0.000000
25, 11.810000, 561.899304, -0.000099, -0.000000, -0.000168, -0.000000
26, 11.810000, 562.784493, -0.000129, -0.000000, -0.000228, -0.000000
27, 11.800000, 562.293530, -0.000132, -0.000000, -0.000234, -0.000000
28, 11.830000, 562.005281, -0.000119, -0.000000, -0.000209, -0.000000
29, 11.810000, 562.766612, -0.000082, -0.000000, -0.000141, -0.000000
30, 11.810000, 562.266707, -0.000033, -0.000000, -0.000052, -0.000000
31, 11.620000, 562.555909, -0.000002, -0.000000, 0.000003, 0.000000
32, 11.760000, 562.699437, 0.000001, 0.000000, 0.000009, 0.000000
33, 11.500000, 563.069403, -0.000007, -0.000000, -0.000004, -0.000000
34, 11.050000, 562.657654, -0.000010, -0.000000, -0.000008, -0.000000
35, 11.010000, 561.847448, -0.000016, -0.000000, -0.000020, -0.000000
36, 12.520000, 562.516332, -0.000056, -0.000000, -0.000089, -0.000000
37, 11.090000, 562.335014, -0.000082, -0.000000, -0.000139, -0.000000
38, 11.810000, 561.993241, -0.000114, -0.000000, -0.000196, -0.000000
39, 11.500000, 562.135875, -0.000131, -0.000000, -0.000232, -0.000000
40, 11.760000, 561.630785, -0.000133, -0.000000, -0.000234, -0.000000
41, 11.750000, 561.733246, -0.000121, -0.000000, -0.000214, -0.000000
42, 11.280000, 561.935842, -0.000094, -0.000000, -0.000164, -0.000000
43, 11.800000, 561.762393, -0.000068, -0.000000, -0.000115, -0.000000
44, 11.440000, 562.269866, -0.000019, -0.000000, -0.000027, -0.000000
45, 12.500000, 562.132418, -0.000008, -0.000000, -0.000006, -0.000000
46, 11.810000, 562.227488, -0.000003, -0.000000, 0.000003, 0.000000
47, 11.250000, 562.413394, -0.000011, -0.000000, -0.000010, -0.000000
48, 11.180000, 562.033117, -0.000016, -0.000000, -0.000020, -0.000000
49, 11.060000, 561.090410, -0.000023, -0.000000, -0.000032, -0.000000
50, 11.510000, 560.480475, -0.000051, -0.000000, -0.000082, -0.000000
51, 12.600000, 561.423302, -0.000097, -0.000000, -0.000164, -0.000000
52, 11.830000, 562.015772, -0.000125, -0.000000, -0.000218, -0.000000
53, 11.810000, 561.655104, -0.000132, -0.000000, -0.000233, -0.000000
54, 11.170000, 561.964095, -0.000121, -0.000000, -0.000214, -0.000000
55, 11.800000, 562.164724, -0.000115, -0.000000, -0.000202, -0.000000
56, 11.830000, 561.863363, -0.000074, -0.000000, -0.000126, -0.000000
57, 11.810000, 562.426686, -0.000024, -0.000000, -0.000035, -0.000000
58, 11.810000, 562.503159, 0.000000, 0.000000, 0.000008, 0.000000
59, 11.800000, 562.752724, -0.000007, -0.000000, -0.000003, -0.000000
60, 11.830000, 562.703073, -0.000021, -0.000000, -0.000029, -0.000000
61, 11.810000, 562.138140, -0.000051, -0.000000, -0.000081, -0.000000
62, 11.820000, 562.672436, -0.000102, -0.000000, -0.000176, -0.000000
63, 11.800000, 562.606335, -0.000130, -0.000000, -0.000230, -0.000000
64, 11.830000, 562.736452, -0.000131, -0.000000, -0.000232, -0.000000
65, 11.800000, 562.890947, -0.000117, -0.000000, -0.000207, -0.000000
66, 11.700000, 562.525868, -0.000080, -0.000000, -0.000137, -0.000000
67, 10.950000, 562.576890, -0.000034, -0.000000, -0.000055, -0.000000
68, 11.820000, 561.813533, -0.000012, -0.000000, -0.000014, -0.000000
69, 11.310000, 561.698973, 0.000004, 0.000000, 0.000015, 0.000000
70, 10.950000, 561.995924, 0.000004, 0.000000, 0.000016, 0.000000
71, 11.820000, 561.408877, -0.000011, -0.000000, -0.000010, -0.000000
72, 12.520000, 561.495721, -0.000044, -0.000000, -0.000068, -0.000000
73, 11.740000, 561.278582, -0.000069, -0.000000, -0.000114, -0.000000
74, 11.330000, 561.332285, -0.000112, -0.000000, -0.000194, -0.000000
75, 12.510000, 562.228501, -0.000131, -0.000000, -0.000230, -0.000000
76, 11.820000, 561.624229, -0.000132, -0.000000, -0.000233, -0.000000
77, 11.250000, 561.802149, -0.000118, -0.000000, -0.000209, -0.000000
78, 11.180000, 562.686563, -0.000110, -0.000000, -0.000194, -0.000000
79, 11.060000, 562.531173, -0.000094, -0.000000, -0.000163, -0.000000
80, 11.510000, 562.999666, -0.000067, -0.000000, -0.000112, -0.000000
81, 12.060000, 562.831938, -0.000035, -0.000000, -0.000056, -0.000000
82, 11.840000, 562.534451, -0.000004, -0.000000, 0.000000, 0.000000
83, 11.810000, 562.339425, -0.000002, -0.000000, 0.000005, 0.000000
84, 11.820000, 562.355459, -0.000017, -0.000000, -0.000021, -0.000000
85, 11.680000, 562.274098, -0.000038, -0.000000, -0.000058, -0.000000
86, 11.170000, 562.830627, -0.000077, -0.000000, -0.000131, -0.000000
87, 11.680000, 563.070655, -0.000109, -0.000000, -0.000188, -0.000000
88, 11.600000, 562.664330, -0.000130, -0.000000, -0.000229, -0.000000
89, 11.800000, 563.027501, -0.000132, -0.000000, -0.000234, -0.000000
90, 11.380000, 563.231230, -0.000121, -0.000000, -0.000214, -0.000000
91, 12.390000, 562.842607, -0.000108, -0.000000, -0.000189, -0.000000
92, 11.820000, 563.001037, -0.000072, -0.000000, -0.000122, -0.000000
93, 11.320000, 562.940240, -0.000024, -0.000000, -0.000036, -0.000000
94, 11.340000, 562.920570, -0.000006, -0.000000, -0.000004, -0.000000
95, 11.320000, 562.344193, 0.000004, 0.000000, 0.000014, 0.000000
96, 11.340000, 562.272966, 0.000003, 0.000000, 0.000013, 0.000000
