time (in 10s), voltage_device (mV), voltage_esp (mV)
0, 540.14492, 545.1
1, 540.161371, 537.3
2, 540.371835, 537.3
3, 540.433645, 539.1
4, 540.4194, 543.9
5, 540.335357, 539.1
6, 540.32886, 535.5
7, 540.157676, 530.7
8, 539.991856, 531.3
9, 539.944649, 542.7
10, 540.2143, 535.8
11, 540.081143, 533.7
12, 540.281117, 538.8
13, 540.203512, 540.0
14, 540.253758, 544.5
15, 540.553331, 538.2
16, 540.278137, 543.3
17, 539.999545, 542.7
18, 540.001512, 548.7
19, 539.964974, 536.4
20, 540.278494, 535.8
21, 540.350854, 526.8
22, 540.269315, 542.1
23, 540.642262, 525.0
24, 540.535688, 540.6
25, 540.208876, 526.8
26, 540.313423, 535.2
27, 540.254354, 540.6
28, 540.070951, 544.5
29, 540.210664, 520.8
30, 540.482342, 540.9
31, 540.349305, 552.6
32, 540.213943, 546.0
33, 540.03799, 538.2
34, 540.284693, 544.8
35, 540.691495, 537.6
36, 540.38763, 533.4
37, 540.354967, 536.4
38, 540.117145, 540.6
39, 540.250182, 555.3
40, 540.325701, 539.4
41, 540.173888, 532.2
42, 540.464401, 531.3
43, 540.242314, 535.5
44, 539.981663, 533.7
45, 540.138602, 528.6
46, 540.23844, 544.5
47, 540.456116, 532.8
48, 540.019095, 526.8
49, 539.690793, 541.2
50, 540.311217, 554.4
51, 540.310085, 520.8
52, 540.267646, 536.1
53, 540.21883, 534.6
54, 540.394664, 534.6
55, 539.945245, 546.6
56, 539.836287, 531.6
57, 539.913356, 523.8
58, 539.815605, 543.6
59, 540.304184, 542.1
60, 540.121853, 537.9
61, 539.726079, 531.0
62, 539.783895, 530.7
63, 540.214717, 537.3
64, 540.336907, 544.5
65, 540.259004, 536.4
66, 540.349364, 540.0
67, 540.445089, 529.2
68, 540.32582, 530.7
69, 540.281355, 549.9
70, 540.387452, 531.0
71, 540.408909, 539.7
72, 540.186167, 550.5
73, 540.11023, 540.6
74, 540.026724, 524.1
75, 540.129662, 526.5
76, 540.093899, 538.2
77, 540.074944, 541.2
78, 539.658606, 532.2
79, 540.029705, 534.0
80, 540.260136, 547.2
