run, time(ms), current (A), voltage(mV), power (W), current_range, current_lsb, voltage_lsb
0, 0.000000, -0.000017, 2.829627, -0.000047, 3.000000, 0.000000, 0.817118
1, 10.947748, -0.000025, 2.829103, -0.000072, 3.000000, 0.000000, 0.223116
2, 21.895495, 0.000052, 2.828441, 0.000147, 3.000000, 0.000000, 0.646763
3, 32.843243, -0.000056, 2.829535, -0.000158, 3.000000, 0.000000, 0.393380
4, 43.790991, 0.000066, 2.828026, 0.000186, 3.000000, 0.000000, 0.475951
5, 54.738739, -0.000066, 2.829723, -0.000187, 3.000000, 0.000000, 0.563917
6, 65.686486, 0.000061, 2.827873, 0.000173, 3.000000, 0.000000, 0.305322
7, 76.634234, -0.000062, 2.829723, -0.000174, 3.000000, 0.000000, 0.734089
8, 87.581982, 0.000055, 2.827726, 0.000157, 3.000000, 0.000000, 0.135059
9, 98.529730, -0.000056, 2.829671, -0.000159, 3.000000, 0.000000, 0.869696
10, 109.477477, 0.000036, 2.827795, 0.000103, 3.000000, 0.000000, 0.075073
11, 120.425225, -0.000006, 2.828968, -0.000017, 3.000000, 0.000000, 0.794623
12, 131.372973, -0.000033, 2.828743, -0.000093, 3.000000, 0.000000, 0.245519
13, 142.320721, 0.000057, 2.827895, 0.000162, 3.000000, 0.000000, 0.624086
14, 153.268468, -0.000058, 2.829120, -0.000164, 3.000000, 0.000000, 0.416240
15, 164.216216, 0.000066, 2.827508, 0.000186, 3.000000, 0.000000, 0.453822
16, 175.163964, -0.000067, 2.829266, -0.000189, 3.000000, 0.000000, 0.586595
17, 186.111712, 0.000061, 2.827346, 0.000173, 3.000000, 0.000000, 0.283376
18, 197.059459, -0.000062, 2.829236, -0.000175, 3.000000, 0.000000, 0.757315
19, 208.007207, 0.000055, 2.827196, 0.000155, 3.000000, 0.000000, 0.112473
20, 218.954955, -0.000055, 2.829198, -0.000155, 3.000000, 0.000000, 0.869788
21, 229.902703, 0.000032, 2.827370, 0.000089, 3.000000, 0.000000, 0.098208
22, 240.850450, 0.000001, 2.828345, 0.000004, 3.000000, 0.000000, 0.772037
23, 251.798198, -0.000035, 2.828245, -0.000099, 3.000000, 0.000000, 0.268563
24, 262.745946, 0.000060, 2.827360, 0.000169, 3.000000, 0.000000, 0.601774
25, 273.693694, -0.000061, 2.828703, -0.000173, 3.000000, 0.000000, 0.438734
26, 284.641441, 0.000066, 2.827015, 0.000185, 3.000000, 0.000000, 0.431236
27, 295.589189, -0.000066, 2.828740, -0.000187, 3.000000, 0.000000, 0.609272
28, 306.536937, 0.000060, 2.826861, 0.000169, 3.000000, 0.000000, 0.260516
29, 317.484685, -0.000061, 2.828755, -0.000173, 3.000000, 0.000000, 0.779627
30, 328.432432, 0.000053, 2.826748, 0.000149, 3.000000, 0.000000, 0.090069
31, 339.380180, -0.000048, 2.828643, -0.000135, 3.000000, 0.000000, 0.869879
32, 350.327928, 0.000020, 2.827072, 0.000055, 3.000000, 0.000000, 0.120885
33, 361.275676, 0.000012, 2.827707, 0.000033, 3.000000, 0.000000, 0.749268
34, 372.223423, -0.000039, 2.827885, -0.000109, 3.000000, 0.000000, 0.291423
35, 383.171171, 0.000062, 2.826787, 0.000174, 3.000000, 0.000000, 0.579005
36, 394.118919, -0.000063, 2.828249, -0.000177, 3.000000, 0.000000, 0.461595
37, 405.066667, 0.000065, 2.826533, 0.000183, 3.000000, 0.000000, 0.408010
38, 416.014414, -0.000065, 2.828301, -0.000184, 3.000000, 0.000000, 0.632041
39, 426.962162, 0.000060, 2.826349, 0.000169, 3.000000, 0.000000, 0.237655
40, 437.909910, -0.000061, 2.828292, -0.000173, 3.000000, 0.000000, 0.802304
41, 448.857658, 0.000053, 2.826247, 0.000149, 3.000000, 0.000000, 0.066935
42, 459.805405, -0.000043, 2.828061, -0.000123, 3.000000, 0.000000, 0.869605
43, 470.753153, 0.000010, 2.826688, 0.000027, 3.000000, 0.000000, 0.143288
44, 481.700901, 0.000020, 2.827081, 0.000057, 3.000000, 0.000000, 0.726591
45, 492.648649, -0.000042, 2.827394, -0.000119, 3.000000, 0.000000, 0.314009
46, 503.596396, 0.000063, 2.826268, 0.000178, 3.000000, 0.000000, 0.556145
47, 514.544144, -0.000064, 2.827751, -0.000182, 3.000000, 0.000000, 0.484455
48, 525.491892, 0.000065, 2.826014, 0.000184, 3.000000, 0.000000, 0.385699
49, 536.439640, -0.000065, 2.827815, -0.000184, 3.000000, 0.000000, 0.654810
