Mean Delta Voltage: 9.101123595505618 mV
Mean Drop Voltage: 27.573033707865168 mV
run, Delta Voltage [mV], Voltage Drop[mV]:
0, 12.000000, 12.000000
1, 0.000000, 18.000000
2, 0.000000, 120.000000
3, 12.000000, 30.000000
4, 0.000000, 24.000000
5, 0.000000, 42.000000
6, 6.000000, 24.000000
7, 12.000000, 24.000000
8, 6.000000, 36.000000
9, 30.000000, 42.000000
10, 18.000000, 12.000000
11, 6.000000, 18.000000
12, 6.000000, 30.000000
13, 0.000000, 42.000000
14, 6.000000, 24.000000
15, 18.000000, 36.000000
16, 6.000000, 18.000000
17, 12.000000, 18.000000
18, 0.000000, 36.000000
19, 0.000000, 18.000000
20, 0.000000, 24.000000
21, 6.000000, 18.000000
22, 0.000000, 24.000000
23, 12.000000, 24.000000
24, 0.000000, 36.000000
25, 12.000000, 24.000000
26, 6.000000, 24.000000
27, 0.000000, 30.000000
28, 6.000000, 42.000000
29, 0.000000, 30.000000
30, 12.000000, 18.000000
31, 24.000000, 12.000000
32, 12.000000, 12.000000
33, 18.000000, 24.000000
34, 12.000000, 42.000000
35, 18.000000, 18.000000
36, 6.000000, 42.000000
37, 6.000000, 18.000000
38, 24.000000, 12.000000
39, 12.000000, 30.000000
40, 0.000000, 36.000000
41, 12.000000, 30.000000
42, 6.000000, 12.000000
43, 18.000000, 24.000000
44, 6.000000, 12.000000
45, 6.000000, 18.000000
46, 18.000000, 24.000000
47, 0.000000, 48.000000
48, 6.000000, 24.000000
49, 6.000000, 30.000000
50, 0.000000, 12.000000
51, 0.000000, 24.000000
52, 0.000000, 36.000000
53, 90.000000, 66.000000
54, 6.000000, 12.000000
55, 18.000000, 42.000000
56, 0.000000, 30.000000
57, 12.000000, 24.000000
58, 30.000000, 18.000000
59, 18.000000, 18.000000
60, 18.000000, 42.000000
61, 0.000000, 36.000000
62, 6.000000, 12.000000
63, 6.000000, 48.000000
64, 12.000000, 12.000000
65, 0.000000, 24.000000
66, 12.000000, 30.000000
67, 0.000000, 24.000000
68, 6.000000, 30.000000
69, 6.000000, 24.000000
70, 6.000000, 6.000000
71, 0.000000, 72.000000
72, 0.000000, 18.000000
73, 0.000000, 30.000000
74, 6.000000, 12.000000
75, 0.000000, 24.000000
76, 12.000000, 24.000000
77, 6.000000, 18.000000
78, 18.000000, 18.000000
79, 12.000000, 48.000000
80, 18.000000, 24.000000
81, 0.000000, 36.000000
82, 30.000000, 18.000000
83, 0.000000, 30.000000
84, 12.000000, 18.000000
85, 0.000000, 36.000000
86, 0.000000, 24.000000
87, 6.000000, 30.000000
88, 30.000000, 18.000000
