run, time(ms), current (mA), voltage(mV), trig
0, 0.000000, 28.636187, 2.912186, 0
1, 10000.000000, 28.111033, 2.911911, 0
2, 20000.000000, 28.342467, 2.913342, 0
3, 30000.000000, 28.285787, 2.913801, 0
4, 40000.000000, 28.387330, 2.914589, 0
5, 50000.000000, 28.198574, 2.915367, 0
6, 60000.000000, 27.609520, 2.914623, 0
7, 70000.000000, 27.011960, 2.913313, 0
8, 80000.000000, 27.031034, 2.912995, 0
9, 90000.000000, 27.229179, 2.912463, 0
10, 100000.000000, 27.316272, 2.912618, 0
11, 110000.000000, 27.326245, 2.912827, 0
12, 120000.000000, 27.383268, 2.912495, 0
13, 130000.000000, 27.248582, 2.912052, 0
14, 140000.000000, 27.128924, 2.911482, 0
15, 150000.000000, 27.203279, 2.911392, 0
16, 160000.000000, 27.130928, 2.910533, 0
17, 170000.000000, 27.161920, 2.910266, 0
18, 180000.000000, 26.992783, 2.909665, 0
19, 190000.000000, 27.262919, 2.909558, 0
20, 200000.000000, 27.344856, 2.909410, 0
21, 210000.000000, 27.217124, 2.908739, 0
22, 220000.000000, 27.428456, 2.909079, 0
23, 230000.000000, 27.539916, 2.909650, 0
24, 240000.000000, 27.858093, 2.909796, 0
25, 250000.000000, 27.857289, 2.910307, 0
26, 260000.000000, 27.999667, 2.911083, 0
27, 270000.000000, 27.905058, 2.910953, 0
28, 280000.000000, 28.009474, 2.911848, 0
29, 290000.000000, 27.891080, 2.912069, 0
30, 300000.000000, 27.303632, 2.911166, 0
31, 310000.000000, 27.387643, 2.911024, 0
32, 320000.000000, 27.299946, 2.910577, 0
33, 330000.000000, 27.142726, 2.910286, 0
34, 340000.000000, 27.229713, 2.910174, 0
35, 350000.000000, 27.222104, 2.909484, 0
36, 360000.000000, 27.233498, 2.908833, 0
37, 370000.000000, 27.324408, 2.909042, 0
38, 380000.000000, 27.660836, 2.909416, 0
39, 390000.000000, 27.497520, 2.909077, 0
40, 400000.000000, 27.367746, 2.908934, 0
41, 410000.000000, 27.331889, 2.908374, 0
42, 420000.000000, 27.529236, 2.908703, 0
43, 430000.000000, 27.988983, 2.910165, 0
44, 440000.000000, 27.722463, 2.909839, 0
45, 450000.000000, 27.867515, 2.910543, 0
46, 460000.000000, 27.908769, 2.910931, 0
47, 470000.000000, 27.737472, 2.910461, 0
48, 480000.000000, 27.854607, 2.911034, 0
49, 490000.000000, 27.915934, 2.911921, 0
50, 500000.000000, 27.961590, 2.911779, 0
51, 510000.000000, 27.838971, 2.911755, 0
52, 520000.000000, 27.941845, 2.913040, 0
53, 530000.000000, 28.215105, 2.913890, 0
54, 540000.000000, 28.116830, 2.914039, 0
55, 550000.000000, 27.348705, 2.913135, 0
56, 560000.000000, 26.734978, 2.911608, 0
57, 570000.000000, 27.092706, 2.911691, 0
58, 580000.000000, 26.971715, 2.910697, 0
59, 590000.000000, 26.802156, 2.909782, 0
60, 600000.000000, 26.467146, 2.908053, 0
61, 610000.000000, 26.887529, 2.907762, 0
62, 620000.000000, 28.432810, 2.911043, 0
63, 630000.000000, 28.493706, 2.912009, 0
64, 640000.000000, 28.241422, 2.912565, 0
65, 650000.000000, 28.296124, 2.913516, 0
66, 660000.000000, 28.096534, 2.913347, 0
67, 670000.000000, 28.042104, 2.914003, 0
68, 680000.000000, 28.091380, 2.915427, 0
69, 690000.000000, 27.649142, 2.914951, 0
70, 700000.000000, 26.651066, 2.912972, 0
71, 710000.000000, 26.488662, 2.911629, 0
