Mean Delta Voltage: 3097.02 mV
Mean Delta Voltage: 3088.5 mV
Mean Drop Voltage: 27.0 mV
Mean power ESP: 162.38381741999572 mWrun, Start Voltage [mV], Final Voltage [mV], Voltage Drop[mV]:
0, 3060.000000, 3054.000000, 12.000000
1, 3096.000000, 3096.000000, 30.000000
2, 3126.000000, 3114.000000, 36.000000
3, 3096.000000, 3096.000000, 42.000000
4, 3096.000000, 3090.000000, 18.000000
5, 3090.000000, 3084.000000, 12.000000
6, 3102.000000, 3096.000000, 30.000000
7, 3108.000000, 3102.000000, 24.000000
8, 3114.000000, 3102.000000, 24.000000
9, 3102.000000, 3102.000000, 30.000000
10, 3096.000000, 3096.000000, 24.000000
11, 3090.000000, 3084.000000, 18.000000
12, 3090.000000, 3090.000000, 24.000000
13, 3090.000000, 3090.000000, 18.000000
14, 3102.000000, 3102.000000, 48.000000
15, 3102.000000, 3090.000000, 18.000000
16, 3108.000000, 3102.000000, 36.000000
17, 3090.000000, 3090.000000, 18.000000
18, 3102.000000, 3090.000000, 36.000000
19, 3102.000000, 3096.000000, 30.000000
20, 3096.000000, 3096.000000, 30.000000
21, 3096.000000, 3096.000000, 24.000000
22, 3090.000000, 3090.000000, 24.000000
23, 3096.000000, 3084.000000, 18.000000
24, 3114.000000, 3108.000000, 30.000000
25, 3084.000000, 3084.000000, 18.000000
26, 3102.000000, 3090.000000, 24.000000
27, 3096.000000, 3096.000000, 42.000000
28, 3120.000000, 3084.000000, 18.000000
29, 3102.000000, 3078.000000, 0.000000
30, 3126.000000, 3084.000000, 12.000000
31, 3114.000000, 3084.000000, 12.000000
32, 3102.000000, 3090.000000, 24.000000
33, 3096.000000, 3084.000000, 30.000000
34, 3108.000000, 3102.000000, 42.000000
35, 3114.000000, 3102.000000, 48.000000
36, 3096.000000, 3090.000000, 30.000000
37, 3102.000000, 3084.000000, 18.000000
38, 3084.000000, 3084.000000, 24.000000
39, 3102.000000, 3096.000000, 30.000000
40, 3114.000000, 3084.000000, 12.000000
41, 3090.000000, 3072.000000, 18.000000
42, 3090.000000, 3090.000000, 30.000000
43, 3102.000000, 3090.000000, 30.000000
44, 3096.000000, 3096.000000, 30.000000
45, 3090.000000, 3084.000000, 12.000000
46, 3096.000000, 3084.000000, 12.000000
47, 3096.000000, 3084.000000, 36.000000
48, 3102.000000, 3084.000000, 18.000000
49, 3090.000000, 3084.000000, 6.000000
50, 3096.000000, 3090.000000, 18.000000
51, 3090.000000, 3084.000000, 30.000000
52, 3096.000000, 3084.000000, 30.000000
53, 3108.000000, 3096.000000, 30.000000
54, 3084.000000, 3078.000000, 24.000000
55, 3102.000000, 3102.000000, 36.000000
56, 3102.000000, 3084.000000, 24.000000
57, 3096.000000, 3090.000000, 30.000000
58, 3090.000000, 3090.000000, 30.000000
59, 3090.000000, 3084.000000, 36.000000
60, 3096.000000, 3084.000000, 114.000000
61, 3084.000000, 3084.000000, 42.000000
62, 3114.000000, 3084.000000, 24.000000
63, 3084.000000, 3084.000000, 24.000000
64, 3096.000000, 3084.000000, 24.000000
65, 3090.000000, 3084.000000, 6.000000
66, 3126.000000, 3090.000000, 18.000000
67, 3090.000000, 3078.000000, 60.000000
68, 3096.000000, 3096.000000, 30.000000
69, 3090.000000, 3090.000000, 24.000000
70, 3108.000000, 3084.000000, 18.000000
71, 3108.000000, 3090.000000, 30.000000
72, 3102.000000, 3084.000000, 18.000000
73, 3096.000000, 3090.000000, 42.000000
74, 3090.000000, 3090.000000, 12.000000
75, 3102.000000, 3090.000000, 18.000000
76, 3090.000000, 3090.000000, 24.000000
77, 3102.000000, 3096.000000, 30.000000
78, 3084.000000, 3084.000000, 12.000000
79, 3084.000000, 3084.000000, 6.000000
80, 3090.000000, 3090.000000, 30.000000
81, 3108.000000, 3078.000000, 24.000000
82, 3108.000000, 3084.000000, 18.000000
83, 3096.000000, 3090.000000, 108.000000
84, 3084.000000, 3084.000000, 24.000000
85, 3084.000000, 3078.000000, 36.000000
86, 3096.000000, 3090.000000, 30.000000
87, 3096.000000, 3096.000000, 30.000000
88, 3090.000000, 3078.000000, 60.000000
89, 3084.000000, 3084.000000, 18.000000
90, 3090.000000, 3090.000000, 24.000000
91, 3114.000000, 3084.000000, 18.000000
92, 3090.000000, 3090.000000, 30.000000
93, 3084.000000, 3078.000000, 12.000000
94, 3096.000000, 3090.000000, 36.000000
95, 3084.000000, 3084.000000, 24.000000
96, 3090.000000, 3084.000000, 12.000000
97, 3084.000000, 3084.000000, 30.000000
98, 3096.000000, 3090.000000, 30.000000
99, 3084.000000, 3078.000000, 12.000000
