Mean power Joulescope: 81.07659903775743 mWrun, time(ms), current (mA), voltage(mV), trig
0, 0.000000, 28.353602, 2.912660, 0
1, 10000.000000, 28.085638, 2.912740, 0
2, 20000.000000, 27.656480, 2.911872, 0
3, 30000.000000, 26.869986, 2.910194, 0
4, 40000.000000, 26.888032, 2.909630, 0
5, 50000.000000, 27.074610, 2.909533, 0
6, 60000.000000, 26.693814, 2.908401, 0
7, 70000.000000, 26.671587, 2.907108, 0
8, 80000.000000, 26.526008, 2.905628, 0
9, 90000.000000, 27.780555, 2.907895, 0
10, 100000.000000, 28.792009, 2.910321, 0
11, 110000.000000, 28.159050, 2.909901, 0
12, 120000.000000, 28.364483, 2.911171, 0
13, 130000.000000, 28.411746, 2.911848, 0
14, 140000.000000, 28.300118, 2.912692, 0
15, 150000.000000, 28.194373, 2.913000, 0
16, 160000.000000, 27.922206, 2.912866, 0
17, 170000.000000, 27.152326, 2.912161, 0
18, 180000.000000, 27.214676, 2.911642, 0
19, 190000.000000, 27.331589, 2.911111, 0
20, 200000.000000, 27.294580, 2.911012, 0
21, 210000.000000, 27.486809, 2.910943, 0
22, 220000.000000, 27.345486, 2.910525, 0
23, 230000.000000, 27.542036, 2.910740, 0
24, 240000.000000, 27.341030, 2.910267, 0
25, 250000.000000, 26.979271, 2.909528, 0
26, 260000.000000, 27.009090, 2.908736, 0
27, 270000.000000, 27.181096, 2.908259, 0
28, 280000.000000, 27.132055, 2.907784, 0
29, 290000.000000, 27.271993, 2.907538, 0
30, 300000.000000, 27.354091, 2.907589, 0
31, 310000.000000, 27.187113, 2.906930, 0
32, 320000.000000, 27.334467, 2.906961, 0
33, 330000.000000, 27.639676, 2.907661, 0
34, 340000.000000, 27.483195, 2.906999, 0
35, 350000.000000, 27.416639, 2.906678, 0
36, 360000.000000, 27.600970, 2.907552, 0
37, 370000.000000, 27.398039, 2.906716, 0
38, 380000.000000, 27.210046, 2.905897, 0
39, 390000.000000, 27.719542, 2.906449, 0
40, 400000.000000, 28.137766, 2.907433, 0
41, 410000.000000, 28.307902, 2.908682, 0
42, 420000.000000, 27.963817, 2.908501, 0
43, 430000.000000, 28.031308, 2.909137, 0
44, 440000.000000, 28.022110, 2.909484, 0
45, 450000.000000, 27.868936, 2.909470, 0
46, 460000.000000, 27.999073, 2.910337, 0
47, 470000.000000, 27.635220, 2.909831, 0
48, 480000.000000, 27.707689, 2.909948, 0
49, 490000.000000, 27.749388, 2.910451, 0
50, 500000.000000, 27.577138, 2.910281, 0
51, 510000.000000, 27.671827, 2.910399, 0
52, 520000.000000, 27.229276, 2.909634, 0
53, 530000.000000, 26.477577, 2.907349, 0
54, 540000.000000, 26.535712, 2.906434, 0
55, 550000.000000, 26.815787, 2.906045, 0
56, 560000.000000, 26.569828, 2.904322, 0
57, 570000.000000, 26.622407, 2.903438, 0
