Mean Delta Voltage: 3126.3 mV
Mean Delta Voltage: 3086.88 mV
Mean Drop Voltage: 93.42 mV
Mean power ESP: 754.6707056924993 mWrun, Start Voltage [mV], Final Voltage [mV], Voltage Drop[mV]:
0, 3126.000000, 3096.000000, 102.000000
1, 3126.000000, 3102.000000, 90.000000
2, 3138.000000, 3102.000000, 108.000000
3, 3144.000000, 3096.000000, 96.000000
4, 3132.000000, 3090.000000, 78.000000
5, 3126.000000, 3096.000000, 102.000000
6, 3126.000000, 3090.000000, 90.000000
7, 3132.000000, 3084.000000, 60.000000
8, 3132.000000, 3090.000000, 84.000000
9, 3132.000000, 3090.000000, 84.000000
10, 3126.000000, 3090.000000, 84.000000
11, 3150.000000, 3126.000000, 126.000000
12, 3138.000000, 3084.000000, 96.000000
13, 3126.000000, 3090.000000, 102.000000
14, 3126.000000, 3108.000000, 114.000000
15, 3144.000000, 3084.000000, 84.000000
16, 3108.000000, 3090.000000, 108.000000
17, 3126.000000, 3096.000000, 90.000000
18, 3138.000000, 3084.000000, 78.000000
19, 3132.000000, 3096.000000, 108.000000
20, 3126.000000, 3102.000000, 114.000000
21, 3132.000000, 3096.000000, 96.000000
22, 3144.000000, 3084.000000, 84.000000
23, 3132.000000, 3096.000000, 90.000000
24, 3120.000000, 3096.000000, 84.000000
25, 3120.000000, 3090.000000, 96.000000
26, 3126.000000, 3096.000000, 84.000000
27, 3126.000000, 3084.000000, 78.000000
28, 3126.000000, 3084.000000, 72.000000
29, 3126.000000, 3090.000000, 78.000000
30, 3132.000000, 3096.000000, 108.000000
31, 3138.000000, 3084.000000, 90.000000
32, 3120.000000, 3072.000000, 72.000000
33, 3126.000000, 3084.000000, 90.000000
34, 3120.000000, 3078.000000, 90.000000
35, 3126.000000, 3084.000000, 108.000000
36, 3120.000000, 3084.000000, 90.000000
37, 3150.000000, 3078.000000, 96.000000
38, 3132.000000, 3090.000000, 114.000000
39, 3126.000000, 3084.000000, 96.000000
40, 3138.000000, 3084.000000, 66.000000
41, 3126.000000, 3096.000000, 102.000000
42, 3126.000000, 3084.000000, 84.000000
43, 3126.000000, 3084.000000, 102.000000
44, 3132.000000, 3108.000000, 126.000000
45, 3132.000000, 3072.000000, 66.000000
46, 3138.000000, 3078.000000, 84.000000
47, 3126.000000, 3084.000000, 84.000000
48, 3102.000000, 3078.000000, 102.000000
49, 3126.000000, 3090.000000, 90.000000
50, 3138.000000, 3084.000000, 102.000000
51, 3120.000000, 3078.000000, 102.000000
52, 3120.000000, 3084.000000, 90.000000
53, 3114.000000, 3090.000000, 102.000000
54, 3120.000000, 3078.000000, 78.000000
55, 3126.000000, 3078.000000, 78.000000
56, 3126.000000, 3084.000000, 90.000000
57, 3138.000000, 3090.000000, 96.000000
58, 3096.000000, 3078.000000, 84.000000
59, 3126.000000, 3096.000000, 96.000000
60, 3120.000000, 3084.000000, 96.000000
61, 3126.000000, 3084.000000, 120.000000
62, 3120.000000, 3084.000000, 102.000000
63, 3114.000000, 3084.000000, 84.000000
64, 3126.000000, 3078.000000, 108.000000
65, 3126.000000, 3084.000000, 108.000000
66, 3156.000000, 3090.000000, 96.000000
67, 3120.000000, 3078.000000, 90.000000
68, 3126.000000, 3078.000000, 96.000000
69, 3120.000000, 3078.000000, 84.000000
70, 3126.000000, 3084.000000, 96.000000
71, 3126.000000, 3066.000000, 60.000000
72, 3126.000000, 3084.000000, 96.000000
73, 3138.000000, 3072.000000, 78.000000
74, 3126.000000, 3084.000000, 96.000000
75, 3108.000000, 3078.000000, 84.000000
76, 3144.000000, 3090.000000, 90.000000
77, 3114.000000, 3084.000000, 102.000000
78, 3108.000000, 3096.000000, 90.000000
79, 3126.000000, 3120.000000, 132.000000
80, 3114.000000, 3078.000000, 90.000000
81, 3108.000000, 3084.000000, 102.000000
82, 3126.000000, 3078.000000, 90.000000
83, 3114.000000, 3078.000000, 96.000000
84, 3120.000000, 3084.000000, 102.000000
85, 3120.000000, 3090.000000, 102.000000
86, 3114.000000, 3090.000000, 90.000000
87, 3126.000000, 3090.000000, 96.000000
88, 3126.000000, 3072.000000, 102.000000
89, 3132.000000, 3084.000000, 114.000000
90, 3144.000000, 3084.000000, 72.000000
91, 3126.000000, 3108.000000, 126.000000
92, 3126.000000, 3078.000000, 72.000000
93, 3114.000000, 3084.000000, 102.000000
94, 3114.000000, 3072.000000, 78.000000
95, 3126.000000, 3078.000000, 102.000000
96, 3126.000000, 3078.000000, 72.000000
97, 3120.000000, 3078.000000, 84.000000
98, 3126.000000, 3078.000000, 84.000000
99, 3120.000000, 3108.000000, 120.000000
