Mean power Joulescope: 113.92130458105468 mWrun, time(ms), current (mA), voltage(mV), trig
0, 0.000000, 28.997138, 2.905687, 0
1, 10000.000000, 28.733846, 2.907026, 0
2, 20000.000000, 28.755631, 2.908040, 0
3, 30000.000000, 28.415013, 2.908162, 0
4, 40000.000000, 28.396484, 2.909170, 0
5, 50000.000000, 28.258989, 2.910135, 0
6, 60000.000000, 27.552005, 2.909335, 0
7, 70000.000000, 27.170970, 2.908531, 0
8, 80000.000000, 26.951455, 2.907429, 0
9, 90000.000000, 26.579954, 2.906046, 0
10, 100000.000000, 26.843686, 2.905974, 0
11, 110000.000000, 27.141087, 2.906100, 0
12, 120000.000000, 27.025867, 2.904950, 0
13, 130000.000000, 28.236015, 2.906970, 0
14, 140000.000000, 28.471436, 2.908267, 0
15, 150000.000000, 28.041310, 2.908647, 0
16, 160000.000000, 28.168910, 2.909394, 0
17, 170000.000000, 28.087225, 2.909471, 0
18, 180000.000000, 27.942086, 2.910102, 0
19, 190000.000000, 27.896728, 2.910331, 0
20, 200000.000000, 27.532812, 2.909515, 0
21, 210000.000000, 27.119283, 2.908713, 0
22, 220000.000000, 27.140822, 2.908963, 0
23, 230000.000000, 27.129428, 2.908141, 0
24, 240000.000000, 27.364295, 2.907965, 0
25, 250000.000000, 27.395684, 2.907873, 0
26, 260000.000000, 27.506828, 2.908133, 0
27, 270000.000000, 27.532574, 2.908231, 0
28, 280000.000000, 27.467147, 2.907690, 0
29, 290000.000000, 27.644690, 2.908243, 0
30, 300000.000000, 27.605865, 2.908445, 0
31, 310000.000000, 27.407495, 2.908046, 0
32, 320000.000000, 27.547010, 2.907969, 0
33, 330000.000000, 27.572408, 2.907997, 0
34, 340000.000000, 27.522903, 2.907979, 0
35, 350000.000000, 27.749905, 2.908411, 0
36, 360000.000000, 27.930079, 2.909219, 0
37, 370000.000000, 28.000010, 2.909755, 0
38, 380000.000000, 27.570006, 2.909221, 0
39, 390000.000000, 26.613627, 2.906809, 0
40, 400000.000000, 26.582100, 2.906071, 0
41, 410000.000000, 26.964769, 2.906031, 0
42, 420000.000000, 27.024835, 2.905361, 0
43, 430000.000000, 26.758168, 2.904254, 0
44, 440000.000000, 26.770140, 2.903321, 0
45, 450000.000000, 27.923133, 2.905528, 0
