Mean Delta Voltage: 67.86 mV
Mean Drop Voltage: 138.3 mV
run, Delta Voltage [mV], Voltage Drop[mV]:
0, 72.000000, 132.000000
1, 72.000000, 132.000000
2, 78.000000, 120.000000
3, 78.000000, 168.000000
4, 66.000000, 132.000000
5, 66.000000, 108.000000
6, 72.000000, 132.000000
7, 78.000000, 138.000000
8, 84.000000, 132.000000
9, 54.000000, 132.000000
10, 96.000000, 132.000000
11, 84.000000, 132.000000
12, 60.000000, 132.000000
13, 78.000000, 132.000000
14, 84.000000, 114.000000
15, 78.000000, 126.000000
16, 78.000000, 120.000000
17, 90.000000, 144.000000
18, 78.000000, 150.000000
19, 78.000000, 132.000000
20, 48.000000, 150.000000
21, 60.000000, 126.000000
22, 72.000000, 168.000000
23, 72.000000, 126.000000
24, 72.000000, 150.000000
25, 66.000000, 126.000000
26, 72.000000, 144.000000
27, 84.000000, 138.000000
28, 12.000000, 138.000000
29, 72.000000, 108.000000
30, 84.000000, 132.000000
31, 66.000000, 144.000000
32, 78.000000, 138.000000
33, 66.000000, 132.000000
34, 84.000000, 156.000000
35, 96.000000, 162.000000
36, 66.000000, 150.000000
37, 54.000000, 156.000000
38, 66.000000, 132.000000
39, 54.000000, 144.000000
40, 54.000000, 150.000000
41, 72.000000, 144.000000
42, 72.000000, 138.000000
43, 78.000000, 138.000000
44, 84.000000, 126.000000
45, 72.000000, 138.000000
46, 66.000000, 138.000000
47, 66.000000, 132.000000
48, 72.000000, 126.000000
49, 72.000000, 150.000000
50, 78.000000, 138.000000
51, 48.000000, 120.000000
52, 60.000000, 150.000000
53, 6.000000, 150.000000
54, 78.000000, 132.000000
55, 78.000000, 144.000000
56, 72.000000, 132.000000
57, 60.000000, 126.000000
58, 54.000000, 138.000000
59, 84.000000, 150.000000
60, 54.000000, 162.000000
61, 66.000000, 150.000000
62, 54.000000, 126.000000
63, 66.000000, 144.000000
64, 48.000000, 150.000000
65, 48.000000, 144.000000
66, 72.000000, 144.000000
67, 72.000000, 126.000000
68, 60.000000, 126.000000
69, 66.000000, 156.000000
70, 66.000000, 150.000000
71, 48.000000, 144.000000
72, 42.000000, 162.000000
73, 78.000000, 150.000000
74, 42.000000, 162.000000
75, 60.000000, 144.000000
76, 66.000000, 156.000000
77, 54.000000, 150.000000
78, 60.000000, 126.000000
79, 66.000000, 120.000000
80, 84.000000, 138.000000
81, 78.000000, 120.000000
82, 54.000000, 132.000000
83, 90.000000, 156.000000
84, 84.000000, 132.000000
85, 48.000000, 156.000000
86, 66.000000, 114.000000
87, 78.000000, 120.000000
88, 84.000000, 120.000000
89, 60.000000, 150.000000
90, 96.000000, 132.000000
91, 78.000000, 138.000000
92, 66.000000, 126.000000
93, 60.000000, 144.000000
94, 72.000000, 144.000000
95, 60.000000, 132.000000
96, 42.000000, 132.000000
97, 66.000000, 150.000000
98, 54.000000, 138.000000
99, 84.000000, 144.000000
