run, time(ms), current (mA), voltage(mV), trig
0, 0.000000, 27.567077, 2.915359, 0
1, 10000.000000, 27.762374, 2.915991, 0
2, 20000.000000, 27.735732, 2.916182, 0
3, 30000.000000, 27.972220, 2.916669, 0
4, 40000.000000, 27.976080, 2.917392, 0
5, 50000.000000, 27.736824, 2.917060, 0
6, 60000.000000, 27.361067, 2.916755, 0
7, 70000.000000, 26.506767, 2.914472, 0
8, 80000.000000, 26.718048, 2.913561, 0
9, 90000.000000, 26.830668, 2.913266, 0
10, 100000.000000, 26.852218, 2.912083, 0
11, 110000.000000, 26.491190, 2.910681, 0
12, 120000.000000, 26.980136, 2.910992, 0
13, 130000.000000, 28.686728, 2.914592, 0
14, 140000.000000, 28.652776, 2.915856, 0
15, 150000.000000, 28.256029, 2.915925, 0
16, 160000.000000, 28.087988, 2.916497, 0
17, 170000.000000, 28.114047, 2.917453, 0
18, 180000.000000, 27.985994, 2.917557, 0
19, 190000.000000, 27.881619, 2.917448, 0
20, 200000.000000, 27.242072, 2.916676, 0
21, 210000.000000, 26.948074, 2.915767, 0
22, 220000.000000, 26.935522, 2.915098, 0
23, 230000.000000, 27.088523, 2.914772, 0
24, 240000.000000, 27.611338, 2.915164, 0
25, 250000.000000, 27.508580, 2.915286, 0
26, 260000.000000, 27.411278, 2.915522, 0
27, 270000.000000, 27.383998, 2.915093, 0
28, 280000.000000, 27.615860, 2.915255, 0
29, 290000.000000, 27.558757, 2.915480, 0
30, 300000.000000, 27.474541, 2.914995, 0
31, 310000.000000, 27.316507, 2.914557, 0
32, 320000.000000, 27.233258, 2.914497, 0
33, 330000.000000, 27.365716, 2.914297, 0
34, 340000.000000, 27.864104, 2.915076, 0
35, 350000.000000, 27.831420, 2.915532, 0
36, 360000.000000, 27.017808, 2.914022, 0
37, 370000.000000, 26.292674, 2.911728, 0
38, 380000.000000, 26.360866, 2.910895, 0
39, 390000.000000, 26.892848, 2.911046, 0
40, 400000.000000, 27.030349, 2.910701, 0
41, 410000.000000, 26.862923, 2.909777, 0
42, 420000.000000, 26.305500, 2.907874, 0
43, 430000.000000, 27.468733, 2.909001, 0
44, 440000.000000, 28.567486, 2.911046, 0
45, 450000.000000, 28.069150, 2.911106, 0
46, 460000.000000, 27.976070, 2.911826, 0
47, 470000.000000, 27.898960, 2.912007, 0
